gender,age
male,35
male,58
male,39
male,38
male,46
male,40
male,35
male,46
male,35
male,26
male,36
male,38
male,40
male,50
female,45
male,45
female,68
male,39
male,35
male,37
male,36
female,36
male,39
female,29
male,38
male,47
male,45
male,38
male,49
male,50
female,35
female,35
male,48
female,36
male,30
male,45
male,37
male,39
male,35
male,48
male,39
male,36
female,55
male,36
female,29
male,40
male,48
male,35
male,36
male,40
male,40
female,35
male,50
male,35
male,29
male,105
male,36
male,37
male,40
female,29
male,40
male,40
male,46
male,65
male,36
male,35
male,37
female,58
female,38
male,40
male,57
female,49
female,45
male,37
male,56
male,40
male,35
male,45
male,45
male,45
male,37
female,60
male,37
male,39
male,35
female,37
male,48
male,35
male,97
male,49
male,55
male,49
male,36
female,47
male,45
male,37
female,58
male,47
female,46
male,37
male,29
male,28
male,35
male,35
female,40
male,35
male,39
male,45
male,39
male,37
male,55
male,46
male,37
male,40
male,35
male,58
male,36
male,28
male,35
male,35
male,45
male,40
male,66
male,35
female,47
male,46
male,47
male,37
male,30
male,39
male,37
male,35
male,37
male,37
male,47
male,35
female,36
male,60
male,46
male,50
male,27
male,28
male,39
male,47
male,46
female,40
male,50
male,40
male,35
male,46
female,30
female,37
male,38
male,29
male,36
male,29
male,45
male,56
male,40
male,49
male,40
male,37
male,39
female,40
male,40
male,65
male,30
female,37
female,38
male,46
male,38
male,49
male,48
male,35
male,45
female,28
female,46
male,38
male,37
male,46
female,36
male,27
male,40
male,45
male,39
male,39
male,39
male,47
female,39
female,36
male,30
male,48
male,49
male,39
male,30
female,56
male,37
female,30
male,39
male,45
male,48
male,46
male,48
male,35
female,36
male,35
male,47
male,40
male,35
male,48
male,35
male,60
male,39
female,40
male,37
male,35
male,46
female,39
male,39
male,38
female,45
male,49
male,38
male,37
female,38
male,46
male,40
male,29
male,46
male,36
male,39
female,27
male,107
male,37
male,35
female,47
male,35
male,47
male,40
female,48
male,38
male,26
male,35
male,39
female,46
male,37
male,56
male,40
male,87
male,38
male,45
male,39
male,30
female,36
male,36
male,60
male,66
male,46
male,36
male,50
male,36
male,35
male,35
female,40
male,36
female,37
male,48
male,39
male,47
male,57
female,35
male,28
male,36
male,30
female,36
male,39
male,48
male,37
male,56
male,38
male,37
male,36
male,40
female,49
male,35
male,40
male,49
female,28
female,45
male,47
female,45
male,28
female,35
male,60
female,38
male,47
male,48
male,30
female,58
male,47
male,36
female,75
male,58
male,47
male,45
male,45
